iter	Passed	Remaining
402	17850	1506
403	17882	1460
404	17914	1415
405	17948	1370
406	17982	1325
407	18027	1281
408	18059	1236
409	18093	1191
410	18129	1146
411	18162	1102
412	18196	1057
413	18232	1012
414	18262	968
415	18294	923
416	18327	879
417	18358	834
418	18393	790
419	18428	745
420	18460	701
421	18492	657
422	18525	613
423	18559	569
424	18592	524
425	18628	481
426	18660	437
427	18694	393
428	18726	349
429	18758	305
430	18793	261
431	18825	217
432	18855	174
433	18888	130
434	18920	86
435	18951	43
436	18985	0
