iter	RMSE
274	0.08280938259
275	0.0827396287
276	0.08257990255
277	0.08243717517
278	0.08235234805
279	0.08212987547
280	0.08189475711
281	0.08176964771
282	0.08153332983
283	0.0813278377
284	0.08099792915
285	0.08089092284
286	0.08078183151
287	0.08072830953
288	0.08061733296
289	0.08057377283
290	0.0805147081
291	0.08025851845
292	0.08008347121
293	0.08005993002
294	0.07986768836
295	0.07958821956
296	0.07954045793
297	0.0794655891
298	0.07919684551
299	0.07911916424
300	0.07879466069
301	0.07851254386
302	0.07831661602
303	0.07807189303
304	0.07781916346
305	0.07754789579
306	0.07728039543
307	0.07713252359
308	0.07695314751
309	0.07669683594
310	0.07649282429
311	0.07639814469
312	0.07613732578
313	0.076078801
314	0.07587753762
315	0.07576297466
316	0.07547813842
317	0.07541069005
318	0.07535676136
319	0.07512484275
320	0.0749079067
321	0.07467921005
322	0.07455157206
323	0.07437351947
324	0.07423446496
325	0.0741614405
326	0.07402259182
327	0.07397113477
328	0.07381821336
329	0.0737620988
330	0.07355272846
331	0.07349251165
332	0.07343845743
333	0.07330208869
334	0.07324631255
335	0.07318535454
336	0.07306784128
337	0.0730000733
338	0.07289675047
339	0.07283565216
340	0.07280850325
341	0.0726951342
342	0.0725290622
343	0.07230452448
344	0.07215795846
345	0.07198519439
346	0.071843808
347	0.07177467664
348	0.07167633008
349	0.07162028244
350	0.07133418156
351	0.07124027584
352	0.07118796705
353	0.07113544861
354	0.07109158903
355	0.07087664904
356	0.07083497067
357	0.07075226488
358	0.07050209585
359	0.07046578832
360	0.07004110613
361	0.07000092756
362	0.06983772789
363	0.06968787204
364	0.06957876648
365	0.06955546806
366	0.06941685461
367	0.06921619341
368	0.06915433556
369	0.06903628316
370	0.06895055265
371	0.06858373669
372	0.0684710112
373	0.06843282119
374	0.06837516044
375	0.06822533304
376	0.06808218876
377	0.06788113394
378	0.06784611007
379	0.06769644294
380	0.06762685682
381	0.06739101492
382	0.06716856268
383	0.06690547994
384	0.0666733622
385	0.06660006011
386	0.06646750683
387	0.06626798326
388	0.06625041201
389	0.06601489729
390	0.06587864492
391	0.06586234615
392	0.06549156085
393	0.06503203273
394	0.06501070005
395	0.06495442466
396	0.06480955872
397	0.06464209996
398	0.06455853284
399	0.06429375175
400	0.06425076727
401	0.06398868381
402	0.06395018822
403	0.06391854935
404	0.06381121094
405	0.06368888414
406	0.0636559717
407	0.06360910925
408	0.06342573434
409	0.06337868082
410	0.06323826646
411	0.06321037145
412	0.06312279126
413	0.06300987906
414	0.06296744536
415	0.06281274922
416	0.06277326798
417	0.06269516061
418	0.06261182838
419	0.06239816687
420	0.06222895596
421	0.06213751243
422	0.06201981809
423	0.06199327072
424	0.06182002446
425	0.06166932162
426	0.06156451217
427	0.06150665052
428	0.06130480267
429	0.06128245013
430	0.0611648485
431	0.06105085894
432	0.06103280489
433	0.06097908558
434	0.06086684663
435	0.06078470043
436	0.06057281696
